doc_id,word_count,token_count,sentence_count,char_count,char_count_no_spaces,avg_words_per_sentence,avg_syllables_per_word,flesch_kincaid_grade,gunning_fog_index,lexical_density,lexical_diversity,keyword_density,sentiment_polarity,named_entity_count,distinct_entity_types,most_frequent_entity,most_frequent_entity_count
Reverse-wing_Pouter_5656ed2844,61,44,4,410,344,15.25,1.7704918032786885,11.249303278688526,10.69016393442623,0.6557377049180327,0.7377049180327869,0.21311475409836064,,9,5,Pouter The Reverse,1
Reversing_the_Charges_31183a923f,6010,4790,561,39183,32272,10.71301247771836,1.5412645590682197,6.774996663315154,7.087201663300323,0.6021630615640599,0.2384359400998336,0.0670549084858569,,1198,16,May,67
Rex_(Ronald_Reagan's_dog)_4482c866c6,454,329,20,2767,2288,22.7,1.6013215859030836,12.158594713656388,13.661497797356828,0.6189427312775331,0.5374449339207048,0.11674008810572688,,83,8,Rex,17
Rex_(search_and_rescue_dog)_5891b9f0bf,104,74,4,652,544,26.0,1.6538461538461537,14.065384615384616,16.16923076923077,0.6442307692307693,0.6923076923076923,0.14423076923076922,,11,6,Rex,4
Rex_du_Poitou_rabbit_b644fee0fb,5445,3599,401,32693,26741,13.5785536159601,1.5120293847566575,7.547582650352997,8.531513273748596,0.5715335169880624,0.19540863177226814,0.10707070707070707,,736,17,Germany,16
Rex_mutation_efe6df8cfb,2426,1690,150,14798,12307,16.173333333333332,1.5952184666117064,9.541177906018138,12.009316845287167,0.5964550700741962,0.2840065952184666,0.10263808738664468,,273,13,Rex,16
Rex_rabbit_f6fad7b803,686,446,35,4026,3315,19.6,1.553935860058309,10.39044314868805,12.737959183673471,0.5816326530612245,0.4110787172011662,0.14431486880466474,,53,11,Rex,8
Rex_the_Wonder_Dog_48026d7c58,1651,1187,62,10056,8325,26.629032258064516,1.6172016959418534,13.87830259275903,15.376022352044703,0.5966081162931557,0.40702604482132043,0.05693519079345851,,234,12,Rex,37
Rhadinoloricaria_3485699038,258,179,13,1960,1660,19.846153846153847,2.1627906976744184,17.67093023255814,15.070244484197975,0.6124031007751938,0.5581395348837209,0.12015503875968993,,51,9,Rhadinoloricaria,10
Rhadinoloricaria_bahuaja_738d1555a5,91,59,5,582,483,18.2,1.7032967032967032,11.606901098901098,12.115164835164835,0.5824175824175825,0.6373626373626373,0.15384615384615385,,11,6,Rhadinoloricaria,2
Rhadinoloricaria_condei_0618dc6035,113,75,5,728,604,22.6,1.6991150442477876,13.273557522123895,13.99575221238938,0.5929203539823009,0.6371681415929203,0.11504424778761062,,16,8,Rhadinoloricaria,2
Rhadinoloricaria_laani_102fcc8e4f,74,46,4,491,412,18.5,1.8918918918918919,13.949324324324326,11.724324324324325,0.6081081081081081,0.6486486486486487,0.14864864864864866,,14,6,Rhadinoloricaria,2
Rhadinoloricaria_listrorhinos_dbf1317156,54,35,3,384,327,18.0,2.074074074074074,15.904074074074074,16.08888888888889,0.5925925925925926,0.7222222222222222,0.18518518518518517,,8,7,Rhadinoloricaria,2
Rhadinoloricaria_macromystax_5542003d56,90,61,6,623,525,15.0,1.9777777777777779,13.597777777777782,14.0,0.6,0.6888888888888889,0.14444444444444443,,11,7,Rhadinoloricaria,3
Rhadinoloricaria_ommation_dea0472f85,68,41,3,454,383,22.666666666666668,1.911764705882353,15.808823529411772,14.94901960784314,0.6029411764705882,0.6617647058823529,0.14705882352941177,,13,7,Rhadinoloricaria,2
Rhadinoloricaria_rhami_29bf84e4c4,115,76,4,734,612,28.75,1.826086956521739,17.170326086956525,16.717391304347824,0.5826086956521739,0.6086956521739131,0.12173913043478261,,21,7,Rhadinoloricaria,3
Rhadinoloricaria_stewarti_33b6d696a5,132,85,5,900,757,26.4,2.022727272727273,18.574181818181817,15.711515151515153,0.5984848484848485,0.6212121212121212,0.11363636363636363,,20,8,Rhadinoloricaria,4
Rhadinopsylla_7174a8426f,24,13,2,163,138,12.0,2.0416666666666665,13.181666666666665,8.133333333333333,0.5416666666666666,0.8333333333333334,0.2916666666666667,,4,3,Rhadinopsylla Rhadinopsylla,1
